 title=Umag
 variables=x,y,Umag
 zone i=          21 ,j=          21
   1.7105263157894735E-002   3.9473684210526317E-003   7.0172575457430524E+045
   1.9736842105263157E-002   3.9473684210526317E-003   1.0015962842720167E+046
   2.2368421052631579E-002   3.9473684210526317E-003   4.0785322831380049E+033
   2.5000000000000001E-002   3.9473684210526317E-003   8.5741915243060686E+037
   2.7631578947368424E-002   3.9473684210526317E-003   4.1642728010863738E+064
   3.0263157894736846E-002   3.9473684210526317E-003   6.1811674028095816E+031
   3.2894736842105268E-002   3.9473684210526317E-003   2.1733408468705565E+032
   3.5526315789473691E-002   3.9473684210526317E-003   6.0721721324023245E+032
   3.8157894736842113E-002   3.9473684210526317E-003   3.1832475824118545E+033
   4.0789473684210535E-002   3.9473684210526317E-003   6.8939005242183588E+033
   4.3421052631578957E-002   3.9473684210526317E-003   1.5272068466459635E+036
   4.6052631578947380E-002   3.9473684210526317E-003   2.2699999607014502E+035
   4.8684210526315802E-002   3.9473684210526317E-003   3.2004030541482283E+072
   5.0000000000000003E-002   3.9473684210526317E-003   0.0000000000000000     
   0.0000000000000000        6.5789473684210523E-003   0.0000000000000000     
   1.3157894736842105E-003   6.5789473684210523E-003   360362836.35600615     
   3.9473684210526317E-003   6.5789473684210523E-003   325811300103644.19     
   6.5789473684210523E-003   6.5789473684210523E-003   1.9453448845580177E+019
   9.2105263157894728E-003   6.5789473684210523E-003   2.4875225682408673E+036
   1.1842105263157893E-002   6.5789473684210523E-003   1.0071376378509608E+045
   1.4473684210526314E-002   6.5789473684210523E-003   4.2319854302333858E+040
   1.7105263157894735E-002   6.5789473684210523E-003   5.7466740316885702E+045
   1.9736842105263157E-002   6.5789473684210523E-003   5.1040984448249829E+034
   2.2368421052631579E-002   6.5789473684210523E-003   2.3394503991723063E+034
   2.5000000000000001E-002   6.5789473684210523E-003   1.4769258111784282E+034
   2.7631578947368424E-002   6.5789473684210523E-003   8.1541133424120823E+033
   3.0263157894736846E-002   6.5789473684210523E-003   2.2316762195876443E+033
   3.2894736842105268E-002   6.5789473684210523E-003   5.9760405222789067E+032
   3.5526315789473691E-002   6.5789473684210523E-003   6.6649309731273500E+032
   3.8157894736842113E-002   6.5789473684210523E-003   8.7659946858964606E+032
   4.0789473684210535E-002   6.5789473684210523E-003   2.1328296074259181E+033
   4.3421052631578957E-002   6.5789473684210523E-003   8.0487297922340822E+052
   4.6052631578947380E-002   6.5789473684210523E-003   1.3688184666604097E+053
   4.8684210526315802E-002   6.5789473684210523E-003   7.5986672487803216E+054
   5.0000000000000003E-002   6.5789473684210523E-003   0.0000000000000000     
   0.0000000000000000        9.2105263157894728E-003   0.0000000000000000     
   1.3157894736842105E-003   9.2105263157894728E-003   65387925778070.164     
   3.9473684210526317E-003   9.2105263157894728E-003   1.4835081485518355E+017
   6.5789473684210523E-003   9.2105263157894728E-003   1.2453286768265531E+036
